CODEDEP;Libellé de la commune;LUG;LUD;LFN;Premier
38;Saint-Didier-de-la-Tour;15,75;18,11;20,47;LFN
38;Saint-Egrève;27,87;18,12;8,96;LUG
38;Saint-Etienne-de-Crossey;28,01;22,31;11,45;LUG
38;Saint-Etienne-de-Saint-Geoirs;15,98;28,02;15,89;LUD
38;Saint-Geoire-en-Valdaine;16,68;20,01;17,13;LUD
38;Saint-Geoirs;15,94;31,11;14,91;LUD
38;Saint-Georges-de-Commiers;21,16;17,62;16,83;LUG
38;Saint-Georges-d'Espéranche;16,03;21,23;19,11;LUD
38;Saint-Gervais;16,35;16,35;16,59;LFN
38;Saint-Guillaume;25,5;33;15;LUD
38;Saint-Hilaire-de-Brens;20,62;24,83;16,85;LUD
38;Saint-Hilaire-de-la-Côte;21,33;20,27;14,49;LUG
38;Saint-Hilaire-du-Rosier;17,74;19,06;17,23;LUD
38;Saint-Hilaire;36,06;10,89;6,97;LUG
38;Saint-Honoré;22,86;20,48;17,94;LUG
38;Saint-Ismier;22,31;32,43;8,07;LUD
38;Saint-Jean-d'Avelanne;17,27;20,56;18,59;LUD
38;Saint-Jean-de-Bournay;17,51;23,18;19,42;LUD
38;Saint-Jean-de-Moirans;26,7;21,66;10,93;LUG
38;Saint-Jean-de-Soudain;16,83;21,29;19,7;LUD
38;Saint-Jean-de-Vaulx;34,72;12,88;11,35;LUG
38;Saint-Jean-d'Hérans;32,99;15,28;12,5;LUG
38;Saint-Jean-le-Vieux;25,62;30,54;14,29;LUD
38;Saint-Joseph-de-Rivière;25,85;17,45;14,57;LUG
38;Saint-Julien-de-l'Herms;20,18;20,18;15,6;A
38;Saint-Julien-de-Ratz;29,94;20,93;14,24;LUG
38;Saint-Just-Chaleyssin;16,17;24,43;17,21;LUD
38;Saint-Just-de-Claix;18,4;14,03;20,4;LFN
38;Saint-Lattier;19,01;18,8;18,59;LUG
38;Saint-Laurent-du-Pont;20,87;18,36;15,48;LUG
38;Saint-Laurent-en-Beaumont;22,99;18,45;19,25;LUG
38;Sainte-Luce;30;18;10;LUG
38;Saint-Marcel-Bel-Accueil;24,4;26,62;15,21;LUD
38;Saint-Marcellin;21,93;20,15;14,75;LUG
38;Sainte-Marie-d'Alloix;27,25;19,42;18,84;LUG
38;Sainte-Marie-du-Mont;33,97;20,51;14,1;LUG
38;Saint-Martin-de-Clelles;31,97;23,81;11,56;LUG
38;Saint-Martin-de-Vaulserre;24,12;15,35;20,61;LUG
38;Saint-Martin-d'Hères;26,35;11,46;10,79;LUG
38;Saint-Martin-d'Uriage;31,67;24,44;10,26;LUG
38;Saint-Martin-le-Vinoux;25,15;14,91;7,73;LUG
38;Saint-Maurice-en-Trièves;11,63;31,01;20,93;LUD
38;Saint-Maurice-l'Exil;19,47;13,35;16,16;LUG
38;Saint-Maximin;24,74;15,98;20,79;LUG
38;Saint-Michel-de-Saint-Geoirs;23,04;28,11;13,36;LUD
38;Saint-Michel-en-Beaumont;22,73;21,21;12,12;LUG
38;Saint-Michel-les-Portes;28,95;20,61;7,46;LUG
38;Saint-Mury-Monteymond;29,6;15,2;10,8;LUG
38;Saint-Nazaire-les-Eymes;25,98;31,16;8,1;LUD
38;Saint-Nicolas-de-Macherin;25,96;21,21;11,83;LUG
38;Saint-Nizier-du-Moucherotte;32,28;20,16;7,81;LUG
38;Saint-Ondras;18,28;19,82;13,66;LUD
38;Saint-Pancrasse;41,89;10,03;8,26;LUG
38;Saint-Paul-de-Varces;22,2;22,31;14,85;LUD
38;Saint-Paul-d'Izeaux;18,22;13,75;15,99;LUG
38;Saint-Paul-lès-Monestier;32,71;20,56;14,49;LUG
38;Saint-Pierre-d'Allevard;25,2;15,66;13,92;LUG
38;Saint-Pierre-de-Bressieux;20,1;32,41;10,75;LUD
38;Saint-Pierre-de-Chartreuse;29,82;22,06;9,09;LUG
38;Saint-Pierre-de-Chérennes;28,03;17,68;17,42;LUG
38;Saint-Pierre-de-Méarotz;10,94;15,63;24,22;LFN
38;Saint-Pierre-de-Mésage;24,81;17,04;19,81;LUG
38;Saint-Pierre-d'Entremont;20,65;27,33;13,97;LUD
38;Saint-Prim;17,29;21,33;17,87;LUD
38;Saint-Quentin-Fallavier;21;15,76;18,52;LUG
38;Saint-Quentin-sur-Isère;20,63;19,16;19,06;LUG
38;Saint-Romain-de-Jalionas;13,84;21,34;23,47;LFN
38;Saint-Romain-de-Surieu;20,27;21,93;20,27;LUD
38;Saint-Romans;21,43;22,87;17,81;LUD
38;Saint-Sauveur;17,95;17,87;19,73;LFN
38;Saint-Savin;16,96;22,4;18,43;LUD
38;Saint-Sébastien;38,22;14,22;8,44;LUG
38;Saint-Siméon-de-Bressieux;16,61;19,6;14,44;LUD
38;Saint-Sorlin-de-Morestel;15,7;18,16;24,89;LFN
38;Saint-Sorlin-de-Vienne;18,81;24,92;22,73;LUD
38;Saint-Sulpice-des-Rivoires;15,97;25,77;17,09;LUD
38;Saint-Théoffrey;25,65;20,21;9,07;LUG
38;Saint-Vérand;19,94;18,3;16,88;LUG
38;Saint-Victor-de-Cessieu;14,64;19,52;23,51;LFN
38;Saint-Victor-de-Morestel;16,99;16,88;17,34;LFN
38;Saint-Vincent-de-Mercuze;24,96;24,2;9,44;LUG
38;Salagnon;18,1;17;19,9;LFN
38;Salaise-sur-Sanne;22,68;14,4;17,4;LUG
38;La Salette-Fallavaux;23,85;17,43;20,18;LUG
38;La Salle-en-Beaumont;23,18;16,2;17,32;LUG
38;Le Sappey-en-Chartreuse;39,36;21,76;6,72;LUG
38;Sarcenas;44,77;11,05;9,88;LUG
38;Sardieu;14,35;23,63;21,52;LUD
38;Sassenage;23,54;20,1;13,57;LUG
38;Satolas-et-Bonce;14,02;21,18;21,75;LFN
38;Savas-Mépin;14,55;23,8;23,14;LUD
38;Séchilienne;24,24;10,61;17,08;LUG
38;Semons;14,18;24,73;17,09;LUD
38;Septème;14,8;19,26;21,59;LFN
38;Sérézin-de-la-Tour;16,88;20,78;22,94;LFN
38;Sermérieu;17,63;20,84;20,43;LUD
38;Serpaize;25,06;18,89;21,5;LUG
38;Seyssinet-Pariset;24,76;18,74;12,23;LUG
38;Seyssins;29,22;25,44;10,71;LUG
38;Seyssuel;21,26;28,23;12,37;LUD
38;Siccieu-Saint-Julien-et-Carisieu;19,14;20,57;14,05;LUD
38;Siévoz;34,26;18,52;12,04;LUG
38;Sillans;18,05;23,07;16,73;LUD
38;Sinard;32,78;18,16;8,56;LUG
38;Soleymieu;14,65;20,1;23,34;LFN
38;La Sône;18,1;19,43;16,78;LUD
38;Sonnay;15,81;18,61;22,57;LFN
38;Sousville;27,21;21,77;14,97;LUG
38;Succieu;20,75;19,68;22,54;LFN
38;Susville;21,8;10,96;14,01;LUG
38;Têche;13,94;21,68;21,9;LFN
38;Tencin;19,68;16,68;16,06;LUG
38;La Terrasse;33,29;21;12,18;LUG
38;Theys;28,67;23;14,62;LUG
38;Thodure;20,14;24,6;17,29;LUD
38;Tignieu-Jameyzieu;17,78;17,5;19,31;LFN
38;Torchefelon;23,93;19,44;19,23;LUG
38;La Tour-du-Pin;15,7;19,65;14,03;LUD
38;Le Touvet;25,87;21,53;9,96;LUG
38;Tramolé;18,52;25,51;17,9;LUD
38;Treffort;21,62;27,03;12,97;LUD
38;Tréminis;26,4;21,83;13,71;LUG
38;Trept;15,14;22,13;21,27;LUD
38;La Tronche;27,5;26,58;6,84;LUG
38;Tullins;22,01;16,69;14,49;LUG
38;Valbonnais;22,85;18,24;13,43;LUG
38;Valencin;15,16;22,5;19,79;LUD
38;Valencogne;15,03;20,84;19,84;LUD
38;La Valette;50;14,06;9,38;LUG
38;Valjouffrey;25,94;11,32;13,21;LUG
38;Varacieux;17,91;20,59;21,02;LFN
38;Varces-Allières-et-Risset;19,82;20,44;15,42;LUD
38;Vasselin;13,03;23,13;22,8;LUD
38;Vatilieu;24,84;23,9;17,61;LUG
38;Vaujany;20,57;24,64;10,29;LUD
38;Vaulnaveys-le-Bas;23,91;18,89;17,72;LUG
38;Vaulnaveys-le-Haut;23,32;22,22;12,62;LUG
38;Vaulx-Milieu;19,91;21;17,56;LUD
38;Velanne;19,31;16,58;17,57;LUG
38;Vénérieu;18,53;19,66;20,79;LFN
38;Venon;33,5;24,84;8,66;LUG
38;Vénosc;13,85;19,75;8,64;LUD
38;Vernas;21,28;20,74;17,55;LUG
38;Vernioz;22,73;18,37;18,94;LUG
38;La Verpillière;18,47;18,87;16,53;LUD
38;Le Versoud;26,63;18,71;13,28;LUG
38;Vertrieu;19,82;18,69;25,9;LFN
38;Veurey-Voroize;24,6;23,17;16,14;LUG
38;Veyrins-Thuellin;15,31;20,26;21,07;LFN
38;Veyssilieu;22,07;18,97;19,66;LUG
38;Vézeronce-Curtin;13,28;18,92;20,97;LFN
38;Vienne;21,01;23,05;9,52;LUD
38;Vif;19,85;18,95;16,45;LUG
38;Vignieu;15,45;21,68;23,04;LFN
38;Villard-Bonnot;22,59;13,86;13,35;LUG
38;Villard-de-Lans;21,98;26,77;9,9;LUD
38;Villard-Notre-Dame;30;20;7,5;LUG
38;Villard-Reculas;32,43;21,62;5,41;LUG
38;Villard-Reymond;35,71;23,81;0;LUG
38;Villard-Saint-Christophe;29,1;19,81;13,93;LUG
