imb_id;imb_longitude;imb_latitude;imb_code;imb_code_insee;imb_nbr_logloc;imb_source;imb_type;addr_code;imb_num;addr_numero;addr_rep;addr_nom_voie;addr_nom_ld;addr_code_insee;addr_nom_commune;addr_id_fantoir;addr_source
6621408;637646.6715959242;5650987.396991049;IMB/38185/C/000L;38185;16;fo;imm;38185_0140_00017;;17;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
6674170;637602.4488680402;5650980.7765726885;IMB/38185/C/000K;38185;1;fo;imm;38185_0140_00016;;16;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
8487380;637718.4333943328;5650879.064719615;ID-381850000010;38185;14;fo;imm;38185_0140_00033;;33;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
8831632;637691.2108661539;5650935.691109335;IMB/38185/C/000O;38185;28;fo;imm;38185_0140_00025;;25;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
9016527;637438.6741771173;5651259.491922029;IMB/38185/C/000D;38185;11;fo;imm;38185_0140_00005;;5;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
658130;636737.7236080134;5650251.684203385;IMB/38185/X/02RQ;38185;11;fo;imm;38185_0150_00003;;3;;Rue de l'Aigle;NA;38185;Grenoble;38185_0150;ban
558095;635594.0088726729;5651344.840151748;IMB/38185/C/03W9;38185;22;fo;imm;38185_0160_00017;;17;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
1376503;635608.1936861471;5651610.183709905;IMB/38185/C/03VW;38185;19;fo;imm;38185_0160_00001;;1;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
4668264;635606.5561481458;5651571.859039952;IMB/38185/C/03W0;38185;8;fo;imm;38185_0160_00005;;5;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
4668686;635563.464274755;5651525.356463717;IMB/38185/C/03W3;38185;16;fo;imm;38185_0160_00008;;8;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
5814942;635566.5174184941;5651347.195854284;ID-381850000065;38185;16;fo;imm;38185_0160_00016;;16;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
7442360;635590.1072479781;5651386.257691959;IMB/38185/C/03W7;38185;18;fo;imm;38185_0160_00015;;15;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
7647512;635575.1115561783;5651598.814089152;IMB/38185/C/03VX;38185;9;fo;imm;38185_0160_00002;;2;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
7647796;635562.1101123113;5651394.565007843;IMB/38185/S/03W6;38185;1;fo;pav;38185_0160_00014;;14;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
7749920;635583.9368360313;5651308.301349752;IMB/38185/C/03WA;38185;11;fo;imm;38185_0160_00019;;19;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
8019666;635566.6899932948;5651468.321879504;IMB/38185/C/07N7;38185;35;fo;imm;38185_0160_00010;;10;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
8058624;635572.7194261305;5651576.155311312;IMB/38185/C/03VZ;38185;16;fo;imm;38185_0160_00004;;4;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
8110003;635552.9339094021;5651312.485616839;IMB/38185/C/03WB;38185;9;fo;imm;38185_0160_00020;le berey;20;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
9099138;635581.6442955422;5651548.894448585;ID-38185000004A;38185;16;fo;imm;38185_0160_00006;;6;;Rue Aimé Berey;NA;38185;Grenoble;38185_0160;ban
4000138;637137.2707505387;5647049.6991261905;IMB/38185/X/03IW;38185;1;fo;imm;38185_0166_00008;;8;;Rue Aimé Pupin;NA;38185;Grenoble;38185_0166;ban
7649306;637163.5643318663;5646771.371494336;IMB/38185/X/03J4;38185;1;fo;pav;38185_0166_00030;;30;;Rue Aimé Pupin;NA;38185;Grenoble;38185_0166;ban
2712418;635113.1278770914;5653459.2330586;IMB/38185/X/02TI;38185;28;fo;imm;38185_0167_00021;zac presqu ile cambridge;21;;Rue Aimé Requet;NA;38185;Grenoble;38185_0167;ban
4723926;635227.0831274806;5653339.107960922;IMB/38185/X/02TH;38185;42;fo;imm;38185_0167_00013;zac presqu ile cambridge;13;;Rue Aimé Requet;NA;38185;Grenoble;38185_0167;ban
7600601;635278.7454864513;5653287.099561311;IMB/38185/X/02RY;38185;38;fo;imm;38185_0167_00009;zac presqu ile cambridge;9;;Rue Aimé Requet;NA;38185;Grenoble;38185_0167;ban
1376854;635042.4956331442;5653465.120599926;IMB/38185/X/02TJ;38185;72;fo;imm;38185_0168_00028;le panache;28;;Rue Winston Churchill;NA;38185;Grenoble;38185_0168;ban
7103343;635214.4186037462;5653639.796634657;IMB/38185/X/03NG;38185;12;fo;imm;38185_0168_00002;a2;2;;Rue Winston Churchill;NA;38185;Grenoble;38185_0168;ban
7172404;635206.8455642007;5653661.465542871;IMB/38185/X/03NF;38185;22;fo;imm;38185_0168_00002;a1;2;;Rue Winston Churchill;NA;38185;Grenoble;38185_0168;ban
7172447;635221.8807526524;5653615.298970214;IMB/38185/X/03NH;38185;11;fo;imm;38185_0168_00002;a3;2;;Rue Winston Churchill;NA;38185;Grenoble;38185_0168;ban
1838830;638617.2785042961;5652295.007457396;IMB/38185/S/065G;38185;1;fo;pav;38185_0170_00020;;20;;Rue Aimon de Chissé;NA;38185;Grenoble;38185_0170;ban
2061387;638633.0394375814;5652529.010897615;IMB/38185/C/02MI;38185;1;fo;imm;38185_0170_00005_bis;;5;bis;Rue Aimon de Chissé;NA;38185;Grenoble;38185_0170;ban
5903036;638640.2521293657;5652498.828642688;IMB/38185/C/02MJ;38185;15;fo;imm;38185_0170_00007_bis;;7;bis;Rue Aimon de Chissé;NA;38185;Grenoble;38185_0170;ban
6929427;638606.8549703618;5652414.936623163;IMB/38185/S/065E;38185;3;fo;imm;38185_0170_00010;;10;;Rue Aimon de Chissé;NA;38185;Grenoble;38185_0170;ban
155393;639488.0581420241;5648728.642409379;ID-3818500000C0;38185;10;fo;imm;38185_0180_00003;;3;;Rue Albert Ravanat;NA;38185;Grenoble;38185_0180;ban
7555673;639486.6419381553;5648728.691819201;ID-3818500000DZ;38185;10;fo;imm;38185_0180_00001;;1;;Rue Albert Ravanat;NA;38185;Grenoble;38185_0180;ban
8584764;639489.4743458787;5648728.592999326;ID-3818500000AN;38185;10;fo;imm;38185_0180_00005;;5;;Rue Albert Ravanat;NA;38185;Grenoble;38185_0180;ban
1327003;639117.6744851326;5649669.325509941;IMB/38185/C/065J;38185;0;fo;pav;38185_0185_00008;;8;;Rue Albert Recoura;NA;38185;Grenoble;38185_0185;ban
1328430;639050.5944992759;5649625.321829634;IMB/38185/X/031U;38185;1;fo;pav;38185_0185_00008;creche;8;;Rue Albert Recoura;NA;38185;Grenoble;38185_0185;ban
3433180;639225.6623076035;5649708.7016600035;IMB/38185/C/02MM;38185;14;fo;imm;38185_0185_00002;chatelet les bains;2;;Rue Albert Recoura;NA;38185;Grenoble;38185_0185;ban
6159884;639086.871354497;5649645.07278586;IMB/38185/C/065L;38185;0;fo;pav;38185_0185_00010;;10;;Rue Albert Recoura;NA;38185;Grenoble;38185_0185;ban
6162189;639058.3275960698;5649640.617932137;IMB/38185/X/03MX;38185;2;fo;imm;38185_0185_00010;creche;10;;Rue Albert Recoura;NA;38185;Grenoble;38185_0185;ban
7031443;639195.5411215014;5649700.062196018;IMB/38185/C/02MO;38185;14;fo;imm;38185_0185_00004;chatelet les bains;4;;Rue Albert Recoura;NA;38185;Grenoble;38185_0185;ban
891426;635087.7192688066;5647823.285394108;IMB/38185/C/03WL;38185;1;fo;imm;38185_0190_00063;;63;;Rue Albert Reynier;NA;38185;Grenoble;38185_0190;ban
1378064;635147.0552225388;5647918.82860755;IMB/38185/S/03WH;38185;1;fo;pav;38185_0190_00028;;28;;Rue Albert Reynier;NA;38185;Grenoble;38185_0190;ban
1481477;635160.4745132298;5647901.197372023;IMB/38185/S/03WG;38185;1;fo;pav;38185_0190_00026;;26;;Rue Albert Reynier;NA;38185;Grenoble;38185_0190;ban
2405597;635108.4329315359;5647943.2442465965;IMB/38185/C/03WJ;38185;3;fo;imm;38185_0190_00032;;32;;Rue Albert Reynier;NA;38185;Grenoble;38185_0190;ban
4669529;635179.8409053425;5647890.4029979035;IMB/38185/C/03WF;38185;2;fo;pav;38185_0190_00024;;24;;Rue Albert Reynier;NA;38185;Grenoble;38185_0190;ban
4741075;635530.4616824867;5647640.751831226;IMB/38185/X/03E2;38185;1;fo;pav;38185_0190_00012;stade fcg;12;;Rue Albert Reynier;NA;38185;Grenoble;38185_0190;ban
6951543;634775.1682049313;5647836.729980269;IMB/38185/C/03WK;38185;2;fo;imm;38185_0190_00059;;59;;Rue Albert Reynier;NA;38185;Grenoble;38185_0190;ban
7546597;635201.990397536;5647878.076126089;IMB/38185/S/03WE;38185;1;fo;pav;38185_0190_00022;;22;;Rue Albert Reynier;NA;38185;Grenoble;38185_0190;ban
524813;634832.3335239519;5648545.103829136;IMB/38185/C/03WW;38185;17;fo;imm;38185_0200_00011;;11;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
2031157;634888.0574487802;5648323.7684836965;IMB/38185/C/03X9;38185;16;fo;imm;38185_0200_00031;;31;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
4191824;634834.7043681965;5648600.447434862;IMB/38185/C/03WS;38185;16;fo;imm;38185_0200_00007;;7;;Rue Albert Thomas;NA;38185;Grenoble;38185_0200;ban
