,imb_id,rank,addr_code_x,imb_code_x,code_techno,classe_debit_montant,classe_debit_descendant,imb_longitude,imb_latitude,imb_code_y,imb_code_insee,imb_nbr_logloc,imb_source,imb_type,addr_code_y,imb_num,addr_numero,addr_rep,addr_nom_voie,addr_nom_ld,addr_code_insee,addr_nom_commune,addr_id_fantoir,addr_source,debit_Mbits
841517,4782005,7.0,38185_0280_00043,ID-3818500000DP,FO,THD100,THD1G,636904.4026650662,5647534.226517584,ID-3818500000DP,38185,9,fo,imm,38185_0280_00043,,43.0,,Rue Alfred de Vigny,,38185,Grenoble,38185_0280,ban,1000.0
843256,4787892,7.0,38185_2550_00033,ID-381850000095,COAX,THD30,THD1G,637719.9889554562,5649028.093922471,ID-381850000095,38185,15,fo,imm,38185_2550_00033,,33.0,,Rue Émile Zola,,38185,Grenoble,38185_2550,ban,1000.0
843258,4787893,7.0,38185_0670_00001,ID-3818500000FM,COAX,THD30,THD1G,638801.5839982777,5650379.532893579,ID-3818500000FM,38185,10,fo,imm,38185_0670_00001,,1.0,,Rue Auguste Ravier,,38185,Grenoble,38185_0670,ban,1000.0
844951,4797279,7.0,38185_4730_00002,IMB/38185/C/00V2,COAX,THD30,THD1G,637192.3538282034,5651827.660446438,IMB/38185/C/00V2,38185,6,fo,imm,38185_4730_00002,,2.0,,Rue Marcel Deprez,,38185,Grenoble,38185_4730,ban,1000.0
845250,4798977,7.0,38185_0930_00014,IMB/38185/S/004J,COAX,THD30,THD1G,636822.6143411032,5650842.442706108,IMB/38185/S/004J,38185,10,fo,imm,38185_0930_00014,,14.0,,Rue des Bergers,,38185,Grenoble,38185_0930,ban,1000.0
846139,4802627,7.0,38185_1360_00014,IMB/38185/C/0152,COAX,THD30,THD1G,638106.5171785871,5650968.890951706,IMB/38185/C/0152,38185,1,fo,pav,38185_1360_00014,,14.0,,Rue Champollion,,38185,Grenoble,38185_1360,ban,1000.0
846143,4802689,7.0,38185_6590_00001_bis,IMB/38185/X/03NM,COAX,THD30,THD1G,639843.5518156645,5649937.760085615,IMB/38185/X/03NM,38185,1,fo,pav,38185_6590_00001_bis,2,1.0,bis,Chemin Thiers,,38185,Grenoble,38185_6590,ban,1000.0
847139,4809659,7.0,38185_6600_00023,IMB/38185/C/00YB,COAX,THD30,THD1G,636881.1667423821,5651017.66683391,IMB/38185/C/00YB,38185,13,fo,imm,38185_6600_00023,,23.0,,Rue Thiers,,38185,Grenoble,38185_6600,ban,1000.0
849733,4822114,7.0,38185_1860_00012,IMB/38185/C/06BD,COAX,THD30,THD1G,639278.3069262824,5649811.643525229,IMB/38185/C/06BD,38185,51,fo,imm,38185_1860_00012,,12.0,,Rue Condé,,38185,Grenoble,38185_1860,ban,1000.0
849840,4822364,4.0,38185_4936_00003,IMB/38185/C/02P1,SAT,HD3,BHD8,637256.7237799604,5652137.789606534,IMB/38185/C/02P1,38185,4,fo,pav,38185_4936_00003,,3.0,,Rue Maurice Gignoux,,38185,Grenoble,38185_4936,ban,15.5
