;dpt;techno_maj;débit_maj;pourcentage_bas_debit;imb_latitude;imb_longitude
3330;;SAT;BHD8;0;5650152.006577208;638710.5142371187
3331;;SAT;BHD8;0;5650164.457774402;638685.5457180091
3332;;SAT;BHD8;0;5650153.232989198;638682.2221778285
3333;;SAT;BHD8;0;5650173.846288889;638698.7044402753
3334;;SAT;BHD8;0;5650164.479856881;638750.7385048764
3335;;SAT;BHD8;0;5649175.210275197;636904.0925045939
3336;;SAT;BHD8;0;5649120.6913728975;636948.5156260814
3337;;SAT;BHD8;0;5649140.466960472;636885.5994089325
3338;;SAT;BHD8;0;5649225.10097633;636539.2022032143
3339;;SAT;BHD8;0;5649218.96576278;636615.4632298193
3340;;SAT;BHD8;0;5649135.323378791;637136.1902718775
3341;;SAT;BHD8;0;5649209.098780625;636613.621436844
3342;;SAT;BHD8;0;5650632.353028559;636821.8498673764
3343;;SAT;BHD8;0;5650676.06678931;636855.1621587712
3344;;SAT;BHD8;0;5651048.82229675;639670.5239693085
3345;;SAT;BHD8;0;5650999.452228865;639693.9013736899
3346;;SAT;BHD8;0;5651083.56631051;639623.832949036
3347;;SAT;BHD8;0;5651030.7955366075;639627.2225870386
3348;;SAT;BHD8;0;5651742.991093255;637407.0082037011
3349;;SAT;BHD8;0;5651771.200589342;637576.9099466816
3350;;SAT;BHD8;0;5650471.605764188;637735.0273024343
3351;;SAT;BHD8;0;5650619.102997432;637744.2083576339
3352;;SAT;BHD8;0;5650577.948741662;637775.0402024447
3353;;SAT;BHD8;0;5650489.330950487;637752.7981623029
3354;;SAT;BHD8;0;5650670.561110621;637672.7163651779
3355;;SAT;BHD8;0;5650556.601430211;637775.5383660662
3356;;SAT;BHD8;0;5651539.436523769;636885.1389814152
3357;;SAT;BHD8;0;5651426.801685288;636891.6367894353
3358;;SAT;BHD8;0;5651326.075572256;637773.2085009246
3359;;SAT;BHD8;0;5651366.867362708;637750.8714070636
3360;;SAT;BHD8;0;5651319.6043369165;637823.960033022
3361;;SAT;BHD8;0;5650648.500940035;636736.3334579866
3362;;SAT;BHD8;0;5650637.334800297;636764.2006670886
3363;;SAT;BHD8;0;5650631.852183065;636792.3055860087
3364;;SAT;BHD8;0;5650673.631405538;636779.9273223827
3365;;SAT;THD1G;0;5649429.978931148;639226.3769973357
3366;;SAT;BHD8;0;5649359.8701540325;639073.1292048183
3367;;SAT;THD1G;0;5649410.850076896;639175.9561548501
3368;;SAT;THD1G;0;5649441.458670057;639256.6382041515
3369;;SAT;BHD8;0;5650949.416688625;638227.5750872807
3370;;SAT;BHD8;0;5650997.637464847;638328.8731250578
3371;;SAT;BHD8;0;5651011.39163046;638274.191208394
3372;;SAT;BHD8;0;5651021.582763772;638301.5611930764
3373;;SAT;BHD8;0;5651744.417226017;637998.1718144747
3374;;SAT;BHD8;0;5649286.732062832;636659.4644081704
3375;;SAT;BHD8;0;5649179.015875589;636684.6075258179
3376;;SAT;BHD8;0;5649182.385211179;636639.4047927522
3377;;SAT;BHD8;0;5649242.9243994625;636653.337635119
3378;;SAT;BHD8;0;5649141.594399825;636629.1562096688
3379;;SAT;BHD8;0;5649307.837800635;636664.6274020527
3380;;SAT;BHD8;0;5651702.307643132;637755.3812971789
3381;;SAT;BHD8;0;5651653.881816877;637855.3676488574
3382;;SAT;BHD8;0;5651727.666565335;637695.5197622293
3383;;SAT;BHD8;0;5651667.5711672325;637802.0829533794
3384;;SAT;BHD8;0;5651683.2586525185;637833.9414993543
3385;;SAT;BHD8;0;5651689.715137526;637717.9843121619
3386;;SAT;BHD8;0;5651664.426668104;637809.0381046744
3387;;SAT;BHD8;0;5651738.204052137;637681.7981971608
3388;;SAT;BHD8;0;5650270.522249206;636466.4265208937
3389;;SAT;BHD8;0;5650172.536077052;636364.4332670184
3390;;SAT;BHD8;0;5650405.834862428;636428.2834453228
3391;;SAT;BHD8;0;5650148.687186501;636455.5240409882
3392;;SAT;BHD8;0;5651222.126754159;636691.5020492818
3393;;SAT;BHD8;0;5650234.503171741;636378.4287029308
3394;;SAT;BHD8;0;5651081.206383193;636661.3609234273
3395;;SAT;BHD8;0;5650923.93214096;636614.9166130354
3396;;SAT;BHD8;0;5650028.804084012;636334.1756240089
3397;;SAT;BHD8;0;5651052.290691901;636573.6548251627
3398;;SAT;BHD8;0;5650019.048167655;636329.5016067178
3399;;SAT;BHD8;0;5651263.165096803;636696.1024635145
3400;;SAT;BHD8;0;5651009.603343667;636639.8550709442
3401;;SAT;BHD8;0;5650888.753406301;636606.3340304301
3402;;SAT;BHD8;0;5650811.570379435;636516.5622337405
3403;;SAT;BHD8;0;5651723.395677815;636807.9882328081
3404;;SAT;BHD8;0;5650774.9085282525;636509.3191069696
3405;;SAT;BHD8;0;5651502.173792993;636760.2212627854
3406;;SAT;BHD8;0;5650790.246586926;636582.2603741218
3407;;SAT;BHD8;0;5651495.3996283375;636653.6126728862
3408;;SAT;BHD8;0;5651491.274076058;636683.2137115855
3409;;SAT;BHD8;0;5650637.931225738;636553.0500671604
3410;;SAT;BHD8;0;5650938.166080154;636548.9174619821
3411;;SAT;BHD8;0;5650076.237703063;636421.2439899681
3412;;SAT;BHD8;0;5651004.3380656075;636564.5061976204
3413;;SAT;BHD8;0;5650808.276369412;636592.9487409194
3414;;SAT;BHD8;0;5650719.777020803;636600.4906870219
3415;;SAT;BHD8;0;5650272.256059627;636360.1958767392
3416;;SAT;BHD8;0;5650265.480011436;636385.4191685327
3417;;SAT;BHD8;0;5651127.5654424485;636542.8664316477
3418;;SAT;BHD8;0;5651098.710593456;636585.5733096503
3419;;SAT;BHD8;0;5651108.568001607;636554.8087474974
3420;;SAT;BHD8;0;5650291.567785915;636472.9914479968
3421;;SAT;BHD8;0;5651702.801748259;636724.8871334981
3422;;SAT;BHD8;0;5651747.628513807;636740.9934435281
3423;;SAT;BHD8;0;5650675.171361969;636480.9357712179
3424;;SAT;BHD8;0;5651713.854354491;636732.4437187603
3425;;SAT;BHD8;0;5651364.4559394475;636721.706630518
3426;;SAT;BHD8;0;5650448.47973311;636428.697107938
3427;;SAT;BHD8;0;5650995.5977253225;636635.0059582929
3428;;SAT;BHD8;0;5650045.247829722;636414.2388966411
3429;;SAT;BHD8;0;5650749.273533942;636576.244679536
3430;;SAT;BHD8;0;5650212.929736277;636449.7726004039
3431;;SAT;BHD8;0;5651356.286186933;636647.6448940855
3432;;SAT;BHD8;0;5650285.10438295;636391.9351438071
3433;;SAT;BHD8;0;5650008.777960119;636402.7631716039
3434;;SAT;BHD8;0;5650718.495230758;636498.3915899937
3435;;SAT;BHD8;0;5650955.981417643;636630.4689305846
3436;;SAT;BHD8;0;5650984.919986557;636568.037737706
3437;;SAT;BHD8;0;5651723.738310372;636734.2866560331
3438;;SAT;BHD8;0;5651567.0403775275;636772.9308956892
3439;;SAT;BHD8;0;5650900.19152645;636606.8259715945
3440;;SAT;BHD8;0;5651075.990201259;636584.5948285001
3441;;SAT;BHD8;0;5651147.72025323;636603.2681532284
3442;;SAT;BHD8;0;5650846.169597662;636604.5034161194
3443;;SAT;BHD8;0;5650577.4944632165;636536.2831627029
3444;;SAT;BHD8;0;5651132.253762527;636664.9716279203
3445;;SAT;BHD8;0;5651568.238413842;636679.4171917682
3446;;SAT;BHD8;0;5650155.753341861;636358.0432622461
3447;;SAT;BHD8;0;5650514.570440385;636445.7137735254
3448;;SAT;BHD8;0;5651299.5907608215;636708.9976662904
3449;;SAT;BHD8;0;5651197.396127418;636605.3989716843
3450;;SAT;BHD8;0;5650697.4487009775;636491.8262844796
3451;;SAT;BHD8;0;5650325.497797141;636477.2898571711
3452;;SAT;BHD8;0;5650468.230753398;636432.3812894786
3453;;SAT;BHD8;0;5650692.670998587;636569.5649094101
3454;;SAT;BHD8;0;5651226.843140326;636615.1607903632
3455;;SAT;BHD8;0;5650249.991578777;636381.9239295953
3456;;SAT;BHD8;0;5651244.833294761;636692.4803339725
3457;;SAT;BHD8;0;5650877.615164336;636534.9826581724
3458;;SAT;BHD8;0;5651464.516049097;636743.014056041
3459;;SAT;BHD8;0;5650726.679870886;636572.44832037
3460;;SAT;BHD8;0;5650068.226601123;636350.8008468568
3461;;SAT;BHD8;0;5650667.313280682;636564.2271355113
3462;;SAT;BHD8;0;5651336.644934152;636641.1412366889
3463;;SAT;BHD8;0;5651602.473955127;636775.8642007218
3464;;SAT;BHD8;0;5651807.7484169835;636336.744849625
3465;;SAT;THD1G;0;5652040.346211355;636253.1630600712
3466;;SAT;BHD8;0;5652037.9183670925;636210.5269051478
3467;;SAT;BHD8;0;5652162.076932121;636167.648554141
3468;;SAT;BHD8;0;5652133.458788613;636204.6960557656
3469;;SAT;BHD8;0;5652097.294455517;636218.7469864935
3470;;SAT;THD1G;0;5651947.25763268;636234.9926646748
3471;;SAT;THD1G;0;5651964.547454865;636262.6630945647
3472;;SAT;THD1G;0;5652004.6322789285;636190.6766901962
3473;;SAT;THD1G;0;5651894.8604122875;636262.5145922679
3474;;SAT;BHD8;0;5652020.452449459;636219.701060105
3475;;SAT;BHD8;0;5651794.784036198;636340.4418911061
3476;;SAT;THD1G;0;5651941.51055064;636236.1572912674
3477;;SAT;BHD8;0;5652124.757048097;636208.5821369778
3478;;SAT;BHD8;0;5652106.122402106;636212.0283730258
3479;;SAT;THD1G;0;5651877.584086734;636267.4397752021
3480;;SAT;THD1G;0;5651341.190249845;638834.1152051318
3481;;SAT;THD1G;0;5651391.550806083;638820.6947307521
3482;;SAT;THD1G;0;5651470.429137149;638805.6788154412
3483;;SAT;BHD8;0;5651430.4311585175;638809.6145269589
3484;;SAT;THD1G;0;5651499.6171121625;638788.5047611329
3485;;SAT;THD1G;0;5651401.610341725;638818.291013287
3486;;SAT;THD1G;0;5651485.338182136;638626.3043698302
3487;;SAT;THD1G;0;5651457.444955537;638646.3603684384
3488;;SAT;THD1G;0;5651528.995226221;638767.096261235
3489;;SAT;BHD8;0;5651539.421327428;638756.2091130061
3490;;SAT;BHD8;0;5650938.754071401;638571.5335828954
3491;;SAT;BHD8;0;5650873.131852343;638248.3859878095
3492;;SAT;BHD8;0;5648318.55305629;636296.2794584685
3493;;SAT;BHD8;0;5650180.00624039;638327.6472373406
3494;;SAT;BHD8;0;5649294.872315094;638638.1049440192
3495;;SAT;BHD8;0;5648974.675993041;638808.5085986848
3496;;SAT;BHD8;0;5650066.433885832;638406.5872510602
3497;;SAT;BHD8;0;5650047.780507837;638425.3997195918
3498;;SAT;BHD8;0;5648343.944220445;639025.011530278
3499;;SAT;BHD8;0;5648241.230384341;639065.9205720793
3500;;SAT;BHD8;0;5647968.7173889335;639088.1629159203
3501;;SAT;BHD8;0;5648891.56111864;638855.9430237144
3502;;SAT;BHD8;0;5648118.410419403;639176.810827644
3503;;SAT;BHD8;0;5647993.224431948;639178.4740600337
3504;;SAT;BHD8;0;5649610.154991267;638450.4739232903
3505;;SAT;BHD8;0;5648753.2442286825;638898.1491751254
3506;;SAT;BHD8;0;5649877.268447254;638389.7026444703
3507;;SAT;BHD8;0;5650032.703654302;638379.3999253656
3508;;SAT;BHD8;0;5649503.615266043;638611.6833672598
3509;;SAT;BHD8;0;5648124.498850748;639036.7853391643
3510;;SAT;BHD8;0;5649806.8798204735;638504.3064612094
3511;;SAT;BHD8;0;5650290.908183793;638360.7753309731
3512;;SAT;BHD8;0;5649881.965204136;638412.5827231489
3513;;SAT;BHD8;0;5649241.2038509175;638662.7099358243
3514;;SAT;BHD8;0;5648360.906400648;638961.9793635797
3515;;SAT;BHD8;0;5649946.778104799;638491.9092635477
3516;;SAT;BHD8;0;5649311.846137903;638672.851308075
3517;;SAT;BHD8;0;5649815.829102417;638462.1723163341
3518;;SAT;BHD8;0;5647863.1715339925;639194.1180831485
3519;;SAT;BHD8;0;5649297.287598525;638680.7285066728
3520;;SAT;BHD8;0;5649526.571129431;638607.0030208045
3521;;SAT;BHD8;0;5649702.834188396;638477.1439689256
3522;;SAT;BHD8;0;5650308.1088436125;638292.0635855497
3523;;SAT;BHD8;0;5650405.2864279775;638248.065247356
3524;;SAT;BHD8;0;5649802.930195632;638464.4495079676
3525;;SAT;THD1G;0;5650058.755903772;638369.1814361608
3526;;SAT;BHD8;0;5648501.587657227;639028.9920608813
3527;;SAT;BHD8;0;5648290.32409877;638983.0169352704
3528;;SAT;BHD8;0;5649328.70329233;638677.829783294
3529;;SAT;BHD8;0;5649704.278436578;638542.3966047848
3530;;SAT;BHD8;0;5648941.737729902;638794.6931753148
3531;;SAT;BHD8;0;5648323.768432222;639031.23247163
3532;;SAT;BHD8;0;5649222.327809148;638737.0125425099
3533;;SAT;BHD8;0;5649048.019031952;638723.8258236246
3534;;SAT;BHD8;0;5648040.845318362;639064.3449180692
3535;;SAT;BHD8;0;5648936.181353745;638786.7448854829
3536;;SAT;BHD8;0;5649877.697888796;638379.8049911901
3537;;SAT;BHD8;0;5649090.698974673;638657.6357326211
3538;;SAT;BHD8;0;5649592.005198877;638567.7436943782
3539;;SAT;BHD8;0;5649064.0688641975;638779.7805951678
3540;;SAT;BHD8;0;5649966.7033318775;638491.3496128167
3541;;SAT;BHD8;0;5649579.499806807;638534.1718317153
3542;;SAT;BHD8;0;5649107.63085447;638758.9820831072
3543;;SAT;BHD8;0;5649643.553505032;638565.2848025905
3544;;SAT;BHD8;0;5648984.344322298;638749.4164972303
3545;;SAT;BHD8;0;5648558.094030735;639004.5038551793
3546;;SAT;BHD8;0;5649669.844025304;638549.4175090354
3547;;SAT;BHD8;0;5648653.5158274565;638804.5778801006
3548;;SAT;BHD8;0;5648540.646243418;639013.669351363
3549;;SAT;BHD8;0;5649921.282545012;638489.3977438236
3550;;SAT;BHD8;0;5649653.601722044;638497.6927509337
3551;;SAT;BHD8;0;5648317.778121713;638972.8650768579
3552;;SAT;BHD8;0;5649850.205150893;638489.1689222568
3553;;SAT;BHD8;0;5648286.08231217;639048.0200332401
3554;;SAT;BHD8;0;5648315.06966567;639035.0999253667
3555;;SAT;BHD8;0;5648304.964232557;639038.9186929029
3556;;SAT;BHD8;0;5649284.874658821;638606.4925075418
3557;;SAT;BHD8;0;5648359.8725716965;639018.615227201
3558;;SAT;BHD8;0;5649622.863732489;638452.4301848111
3559;;SAT;BHD8;0;5648066.454855281;639161.812281782
3560;;SAT;BHD8;0;5650326.1155608725;638270.1647097367
3561;;SAT;BHD8;0;5648951.794928097;638909.5544555143
3562;;SAT;BHD8;0;5649044.3926683925;638839.8599936825
3563;;SAT;BHD8;0;5649036.077079913;638867.846581281
3564;;SAT;BHD8;0;5649023.006384162;638906.9556072478
3565;;SAT;BHD8;0;5648982.9486967325;638847.1361237345
3566;;SAT;BHD8;0;5648973.692395307;638863.7321751515
3567;;SAT;BHD8;0;5648966.046642178;638876.1584033375
3568;;SAT;BHD8;0;5649044.716531176;638897.9793413378
3569;;SAT;BHD8;0;5649010.835102162;638827.0722237843
3570;;SAT;BHD8;0;5648956.726285293;638894.1843072427
3571;;SAT;BHD8;0;5649018.250853739;638918.0922489361
3572;;SAT;BHD8;0;5648265.901521469;638989.0484563811
3573;;SAT;BHD8;0;5649782.326954642;638513.1579568194
3574;;SAT;BHD8;0;5649562.822462043;638459.7722479863
3575;;SAT;BHD8;0;5649619.697365014;638656.3646504321
3576;;SAT;BHD8;0;5649818.485043722;638499.1342838714
3577;;SAT;BHD8;0;5649732.907843398;638570.5559960838
3578;;SAT;BHD8;0;5649698.957670798;638501.0604777028
3579;;SAT;BHD8;0;5649948.535919249;638385.6970837191
3580;;SAT;BHD8;0;5649737.268669711;638470.1227562311
3581;;SAT;BHD8;0;5650183.590663154;638375.9878780297
3582;;SAT;BHD8;0;5649652.190382233;638562.8180055778
3583;;SAT;BHD8;0;5649328.377958642;638619.7085722779
3584;;SAT;BHD8;0;5649551.705831682;638421.0302277714
3585;;SAT;BHD8;0;5649776.95626002;638473.25202324
